name,url,Lazy Loading Smell,Anonymous Event Handler Smell,Async Load Script Smell,Client Side Logging Smell,Inline Style Smell,Unoptimized Images,Web Unsafe fonts
srobbin01/daisyui-admin-dashboard-template,https://github.com/srobbin01/daisyui-admin-dashboard-template.git,55,24,0,2,3,9,0
heysafronov/square-react-dashboard,https://github.com/heysafronov/square-react-dashboard.git,0,0,0,8,0,12,0
gitpod-samples/template-typescript-react,https://github.com/gitpod-samples/template-typescript-react.git,0,0,0,0,0,2,0
chibat/chrome-extension-typescript-starter,https://github.com/chibat/chrome-extension-typescript-starter.git,0,0,0,0,0,1,0
gabdorf/gatsby-portfolio,https://github.com/gabdorf/gatsby-portfolio.git,0,6,0,0,1,10,0
alexey-koran/react-template,https://github.com/alexey-koran/react-template.git,0,0,0,0,0,6,0
bloomui/tokyo-free-white-react-admin-dashboard,https://github.com/bloomui/tokyo-free-white-react-admin-dashboard.git,0,0,0,0,0,22,0
SafdarJamal/vite-template-react,https://github.com/SafdarJamal/vite-template-react.git,5,1,0,0,0,0,0
mdbootstrap/Admin-Dashboard-Template-React-Bootstrap,https://github.com/mdbootstrap/Admin-Dashboard-Template-React-Bootstrap.git,32,0,0,5,13,2,0
uilibrary/matx-react,https://github.com/uilibrary/matx-react.git,100,21,0,17,15,210,0
saltyshiomix/react-ssr,https://github.com/saltyshiomix/react-ssr.git,1,0,0,17,7,0,0
mshuber1981/github-react-portfolio-template,https://github.com/mshuber1981/github-react-portfolio-template.git,34,8,0,8,1,15,0
